Country		2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026
Japan	GDPconpPCPPPidUnits	"40,348.25"	"40,657.98"	"41,408.95"	"41,722.89"	"41,936.73"	"40,048.32"	"41,507.42"	"42,730.63"	"43,407.76"	"43,911.75"	"44,379.07"	"44,827.94"
Japan	GDPcurpPCNCUnits	"4,237,225.49"	"4,287,683.07"	"4,363,632.78"	"4,396,917.94"	"4,447,774.76"	"4,286,579.90"	"4,470,334.75"	"4,626,088.28"	"4,721,087.68"	"4,793,967.84"	"4,866,878.98"	"4,938,446.03"
Japan	GDPPPPWorldPer	4.674	4.466	4.313	4.191	4.092	4.036	3.935	3.865	3.777	3.681	3.583	3.487
Japan	TotalInv	25.165	24.836	25.215	25.556	25.755	25.546	25.411	24.942	24.585	24.532	24.503	24.53
Japan	GrossNatSavs	28.235	28.791	29.342	29.068	29.407	28.831	29.038	28.144	27.864	27.881	27.829	27.776
Japan	INFcpi	99.998	99.883	100.351	101.334	101.817	101.8	101.939	102.648	103.33	104.224	105.228	106.242
Japan	Population	126.978	126.96	126.746	126.495	126.19	125.758	125.284	124.77	124.222	123.643	123.035	122.401
Japan	CurrAccUSDBil	136.437	197.922	203.49	176.864	188.056	165.823	195.026	181.029	196.013	206.666	211.217	212.048
Japan	CurrAccPerGDP	3.069	3.956	4.127	3.511	3.652	3.284	3.626	3.202	3.279	3.349	3.326	3.246
United Kingdom	GDPconpNCBil	"2,043.91"	"2,079.11"	"2,115.30"	"2,141.79"	"2,172.51"	"1,956.99"	"2,061.57"	"2,166.00"	"2,209.23"	"2,248.05"	"2,282.87"	"2,315.95"
United Kingdom	GDPconpPerch	2.363	1.722	1.74	1.253	1.434	-9.92	5.344	5.066	1.996	1.757	1.549	1.449
United Kingdom	GDPcurpNCBil	"1,919.64"	"1,994.71"	"2,068.76"	"2,141.79"	"2,218.44"	"2,113.05"	"2,247.91"	"2,342.18"	"2,431.12"	"2,528.18"	"2,622.12"	"2,717.33"
United Kingdom	GDPcurpPPPidBil	"2,772.58"	"2,896.46"	"3,032.78"	"3,144.50"	"3,246.54"	"2,959.92"	"3,174.92"	"3,411.26"	"3,558.01"	"3,696.34"	"3,827.36"	"3,955.68"
United Kingdom	GDPdefIndex	93.92	95.941	97.8	100	102.114	107.974	109.039	108.134	110.044	112.461	114.861	117.331
United Kingdom	GDPconpPCNCUnits	"31,391.63"	"31,670.62"	"32,030.53"	"32,238.43"	"32,524.08"	"29,168.44"	"30,576.49"	"31,980.64"	"32,483.67"	"32,929.02"	"33,323.24"	"33,695.01"
United Kingdom	GDPconpPCPPPidUnits	"45,007.35"	"45,407.35"	"45,923.36"	"46,221.43"	"46,630.99"	"41,819.88"	"43,838.66"	"45,851.84"	"46,573.05"	"47,211.56"	"47,776.77"	"48,309.80"
United Kingdom	GDPcurpPCNCUnits	"29,483.04"	"30,384.96"	"31,325.82"	"32,238.43"	"33,211.66"	"31,494.38"	"33,340.15"	"34,581.85"	"35,746.24"	"37,032.32"	"38,275.24"	"39,534.84"
United Kingdom	GDPPPPWorldPer	2.492	2.507	2.492	2.438	2.409	2.248	2.236	2.251	2.219	2.185	2.148	2.11
United Kingdom	TotalInv	17.72	17.847	18.166	17.765	18.34	16.999	17.394	18.141	18.14	18.02	17.945	17.891
United Kingdom	GrossNatSavs	12.697	12.413	14.397	14.084	15.246	13.07	13.506	14.143	14.339	14.434	14.41	14.358
United Kingdom	INFcpi	100	100.66	103.361	105.922	107.819	108.736	110.381	112.437	114.635	116.928	119.266	121.651
United Kingdom	Population	65.11	65.648	66.04	66.436	66.797	67.093	67.423	67.729	68.01	68.27	68.507	68.733
United Kingdom	CurrAccUSDBil	-147.364	-146.891	-100.422	-105.331	-87.649	-106.51	-121.5	-133.549	-132.672	-131.278	-135.695	-142.321
United Kingdom	CurrAccPerGDP	-5.024	-5.434	-3.769	-3.682	-3.094	-3.929	-3.888	-3.997	-3.801	-3.586	-3.535	-3.533
United States	GDPconpNCBil	"17,432.18"	"17,730.53"	"18,144.10"	"18,687.80"	"19,091.65"	"18,422.53"	"19,598.94"	"20,287.92"	"20,573.95"	"20,878.67"	"21,214.20"	"21,555.64"
United States	GDPconpPerch	3.076	1.711	2.333	2.997	2.161	-3.505	6.386	3.515	1.41	1.481	1.607	1.61
United States	GDPcurpNCBil	"18,238.30"	"18,745.10"	"19,542.98"	"20,611.88"	"21,433.23"	"20,932.75"	"22,675.27"	"24,003.70"	"24,892.61"	"25,790.12"	"26,719.63"	"27,659.15"
United States	GDPcurpPPPidBil	"18,238.30"	"18,745.10"	"19,542.98"	"20,611.88"	"21,433.23"	"20,932.75"	"22,675.27"	"24,003.70"	"24,892.61"	"25,790.12"	"26,719.63"	"27,659.15"
United States	GDPdefIndex	104.624	105.722	107.71	110.296	112.265	113.626	115.696	118.315	120.991	123.524	125.952	128.315
United States	GDPconpPCNCUnits	"54,335.83"	"54,877.06"	"55,803.50"	"57,169.84"	"58,124.59"	"55,811.23"	"59,041.56"	"60,766.29"	"61,269.30"	"61,819.85"	"62,452.76"	"63,093.70"
United States	GDPconpPCPPPidUnits	"58,525.02"	"59,107.97"	"60,105.85"	"61,577.52"	"62,605.88"	"60,114.17"	"63,593.55"	"65,451.25"	"65,993.04"	"66,586.04"	"67,267.75"	"67,958.10"
United States	GDPcurpPCNCUnits	"56,848.51"	"58,017.23"	"60,105.85"	"63,055.98"	"65,253.52"	"63,415.99"	"68,308.97"	"71,895.79"	"74,130.27"	"76,362.22"	"78,660.27"	"80,958.76"
United States	GDPPPPWorldPer	16.391	16.225	16.06	15.982	15.902	15.9	15.973	15.84	15.523	15.245	14.995	14.756
United States	TotalInv	21.163	20.415	20.547	21.04	21.014	20.988	21.638	21.426	21.339	21.301	21.295	21.317
United States	GrossNatSavs	20.141	18.733	19.216	19.052	18.608	17.802	17.523	18.109	18.605	18.819	18.978	19.097
United States	INFcpi	237.002	240.005	245.136	251.102	255.653	258.844	264.705	271.058	277.844	284.744	291.502	298.057
United States	Population	320.823	323.095	325.143	326.882	328.461	330.086	331.952	333.868	335.795	337.734	339.684	341.645
United States	CurrAccUSDBil	-407.355	-394.865	-365.269	-449.694	-480.225	-646.399	-876.355	-733.779	-617.651	-577.191	-556.251	-550.894
United States	CurrAccPerGDP	-2.234	-2.106	-1.869	-2.182	-2.241	-3.088	-3.865	-3.057	-2.481	-2.238	-2.082	-1.992
